Malpighiales_Salicaceae_Salix_viminalis	Malpighiales_Salicaceae_Populus_tristis	356	48.5
Oxalidales_Cunoniaceae_Spiraeanthemum_pulleanum	Oxalidales_Cunoniaceae_Ackama_rosifolia	230	56
Oxalidales_Cunoniaceae_Schizomeria_serrata	Oxalidales_Cunoniaceae_Platylophus_trifoliatus	362	63.49
Oxalidales_Elaeocarpaceae_Tremandra_stelligera	Oxalidales_Cunoniaceae_Geissois_racemosa	76	80.7
Oxalidales_Elaeocarpaceae_Sloanea_sinensis	Oxalidales_Elaeocarpaceae_Vallea_stipularis	231	61.6
Rosales_Cannabaceae_Lozanella_enantiophylla	Rosales_Moraceae_Prainea_limpato	232	66
Rosales_Moraceae_Maclura_cochinchinensis	Rosales_Moraceae_Bleekrodea_madagascariensis	233	47.8
Rosales_Rhamnaceae_Bathiorhamnus_cryptophorus	Rosales_Elaeagnaceae_Hippophae_salicifolia	234	72.1
Rosales_Rhamnaceae_Bathiorhamnus_cryptophorus	Rosales_Rhamnaceae_Serichonus_gracilipes	235	37.8
Rosales_Rosaceae_Cercocarpus_ledifolius	Rosales_Rosaceae_Amelanchier_canadensis	236	47.8
Rosales_Ulmaceae_Ulmus_pumila	Rosales_Ulmaceae_Ampelocera_edentula	237	48.5
Caryophyllales_Caryophyllaceae_Drymaria_subumbellata	Caryophyllales_Caryophyllaceae_Schiedea_membranacea	263	41.2
Caryophyllales_Phytolaccaceae_Phytolacca_americana	Caryophyllales_Phytolaccaceae_Anisomeria_littoralis	264	72.1
Caryophyllales_Plumbaginaceae_Psylliostachys_spicatus	Caryophyllales_Polygonaceae_Oxyria_digyna	265	66
Vitales_Vitaceae_Leea_guineensis	Santalales_Olacaceae_Malania_oleifera	337	80.7
Vitales_Vitaceae_Leea_guineensis	Santalales_Olacaceae_Malania_oleifera	271	66
Santalales_Schoepfiaceae_Quinchamalium_chilense	Santalales_Misodendraceae_Misodendrum_quadriflorum	272	48
Cornales_Hydrostachyaceae_Hydrostachys_imbricata	Cornales_Hydrangeaceae_Philadelphus_inodorus	267	86.3
Cornales_Cornaceae_Cornus_florida	Cornales_Cornaceae_Alangium_chinense	266	56
Cornales_Hydrangeaceae_Hydrangea_quercifolia	Cornales_Hydrangeaceae_Philadelphus_inodorus	268	56
Cornales_Nyssaceae_Nyssa_ogeche	Cornales_Curtisiaceae_Curtisia_dentata	269	66
Ericales_Ericaceae_Montitega_dealbata	Ericales_Balsaminaceae_Impatiens_hawkeri	288	86.3
Ericales_Actinidiaceae_Actinidia_rubricaulis	Ericales_Actinidiaceae_Saurauia_tristyla	273	83.6
Ericales_Ebenaceae_Euclea_crispa	Ericales_Primulaceae_Maesa_lanceolata	274	33.9
Ericales_Ericaceae_Vaccinium_vitis-idaea	Ericales_Ericaceae_Macleania_insignis	275	66
Ericales_Pentaphylacaceae_Eurya_japonica	Ericales_Sladeniaceae_Ficalhoa_laurifolia	276	66
Ericales_Polemoniaceae_Navarretia_intertexta	Ericales_Polemoniaceae_Bonplandia_geminiflora	277	48.5
Ericales_Roridulaceae_Roridula_gorgonias	Ericales_Actinidiaceae_Saurauia_tristyla	278	33.9
Ericales_Sapotaceae_Sarcosperma_laurinum	Ericales_Sapotaceae_Planchonella_eerwah	279	56
Ericales_Styracaceae_Pterostyrax_psilophyllus	Ericales_Diapensiaceae_Diapensia_obovata	280	47.8
Ericales_Styracaceae_Styrax_formosanus	Ericales_Styracaceae_Pterostyrax_psilophyllus	281	48.5
Ericales_Symplocaceae_Symplocos_paniculata	Ericales_Diapensiaceae_Galax_urceolata	282	47.8
Ericales_Tetrameristaceae_Tetramerista_sp.	Ericales_Tetrameristaceae_Pelliciera_rhizophorae	283	23.03
Ericales_Theaceae_Stewartia_pseudocamellia	Ericales_Theaceae_Camellia_sinensis	284	37.8
Apiales_Myodocarpaceae_Myodocarpus_sp.	Apiales_Apiaceae_Zizia_aurea	313	66
Apiales_Araliaceae_Hydrocotyle_umbellata	Apiales_Araliaceae_Harmsiopanax_harmsii	314	41.2
Apiales_Torricelliaceae_Melanophylla_crenata	Apiales_Griseliniaceae_Griselinia_littoralis	315	56
Aquifoliales_Aquifoliaceae_Ilex_aquifolium	Aquifoliales_Phyllonomaceae_Phyllonoma_laticuspis	316	61.6
Asterales_Asteraceae_Schlechtendalia_luzulifolia	Asterales_Asteraceae_Tragopogon_pratensis	317	47.46
Asterales_Goodeniaceae_Goodenia_sp.	Asterales_Asteraceae_Tragopogon_pratensis	328	72.1
Asterales_Campanulaceae_Canarina_eminii	Asterales_Campanulaceae_Adenophora_polyantha	318	5.33
Asterales_Goodeniaceae_Dampiera_incana	Asterales_Goodeniaceae_Goodenia_ovata	319	23.03
Asterales_Menyanthaceae_Nymphoides_peltata	Asterales_Menyanthaceae_Menyanthes_trifoliata	320	5.33
Dipsacales_Caprifoliaceae_Weigela_florida	Dipsacales_Caprifoliaceae_Diervilla_sessilifolia	322	27.82
Dipsacales_Caprifoliaceae_Linnaea_borealis	Dipsacales_Caprifoliaceae_Abelia_uniflora	323	34.07
Dipsacales_Caprifoliaceae_Valeriana_rubra	Dipsacales_Caprifoliaceae_Patrinia_triloba	321	5.33
Boraginales_Boraginaceae_Nama_dichotoma	Boraginales_Boraginaceae_Amsinckia_grandiflora	289	5.33
Garryales_Eucommiaceae_Eucommia_ulmoides	Garryales_Garryaceae_Aucuba_japonica	292	47.8
Garryales_Garryaceae_Garrya_elliptica	Garryales_Garryaceae_Aucuba_japonica	293	11.63
Gentianales_Apocynaceae_Aspidosperma_cylindrocarpon	Gentianales_Apocynaceae_Gymnema_sylvestre	294	48.5
Gentianales_Gentianaceae_Tripterospermum_volubile	Gentianales_Gelsemiaceae_Pteleocarpa_lamponga	296	33.9
Gentianales_Rubiaceae_Pachystylus_zippelianus	Gentianales_Rubiaceae_Steenisia_pleurocarpa	297	41.2
Icacinales_Icacinaceae_Mappia_nimmoniana	Garryales_Garryaceae_Garrya_elliptica	329	47.8
Lamiales_Acanthaceae_Justicia_anselliana	Lamiales_Acanthaceae_Acanthus_sp.	301	27.82
Lamiales_Acanthaceae_Thunbergia_capensis	Lamiales_Acanthaceae_Avicennia_marina	300	37.8
Lamiales_Bignoniaceae_Catalpa_bungei	Lamiales_Bignoniaceae_Chilopsis_linearis	303	38.4
Lamiales_Byblidaceae_Byblis_gigantea	Lamiales_Stilbaceae_Nuxia_oppositifolia	304	41.2
Lamiales_Lamiaceae_Pogostemon_cablin	Lamiales_Lamiaceae_Teucrium_chamaedrys	305	27.82
Lamiales_Lamiaceae_Callicarpa_americana	Lamiales_Lamiaceae_Eplingiella_fruticosa	306	27.82
Lamiales_Oleaceae_Chionanthus_retusus	Lamiales_Oleaceae_Fontanesia_fortunei	307	27.82
Lamiales_Orobanchaceae_Castilleja_miniata	Lamiales_Paulowniaceae_Paulownia_fargesii	341	11.63
Lamiales_Pedaliaceae_Sesamum_indicum	Lamiales_Pedaliaceae_Uncarina_grandidieri	308	2.58
Solanales_Solanaceae_Mandragora_turcomanica	Solanales_Solanaceae_Scopolia_sp.	327	52.22
